Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.0,1,1,1,1,1,1,1,1,1,1,1
0.03416666670000268,1.052,1.0188,1.00535,1.0012,1.0014,1.00165,0.9997,0.99745,0.9994,1.0031,1.00165
0.223055555600002,1.0718,1.0377,1.0239,1.01955,1.0158,1.0149,1.00735,1.00675,1.0069,1.0099,1.01095
0.5241666667000011,1.04895,1.03315,1.023,1.0182,1.0244,1.0303,1.0159,1.0151,1.00995,1.01715,1.0148
0.8252777778000002,1.0356,1.0471,1.039,1.02855,1.04505,1.05045,1.0286,1.0248,1.01975,1.0286,1.02745
1.1269444445000012,1.0323,1.07245,1.0633,1.04475,1.0744,1.0745,1.0489,1.0372,1.0323,1.04155,1.04235
1.4286111112000022,1.02345,1.09455,1.07895,1.06625,1.09895,1.0954,1.0636,1.0528,1.0463,1.0579,1.0592
1.7291666666999994,1.0143,1.1136,1.0966,1.0813,1.1161,1.1139,1.07645,1.069,1.0633,1.07335,1.07585
2.0308333334000004,0.99875,1.1275,1.11215,1.09335,1.12535,1.12465,1.09115,1.0794,1.078,1.08295,1.09455
2.3324999999999996,0.9785,1.1383,1.12305,1.10155,1.12875,1.13515,1.1014,1.08875,1.0872,1.0989,1.10545
2.6336111112000005,0.96235,1.1461,1.13455,1.1146,1.1386,1.14435,1.11485,1.1031,1.1007,1.1188,1.12335
2.9352777777999997,0.94,1.1551,1.14195,1.1207,1.1423,1.15365,1.1221,1.1135,1.1114,1.13145,1.13715
3.2358333334000022,0.9216,1.15935,1.14645,1.12855,1.14945,1.1609,1.13435,1.12675,1.1248,1.1392,1.15385
3.5380555555999997,0.90285,1.1673,1.15725,1.13515,1.151,1.1704,1.14575,1.13475,1.135,1.1494,1.16715
3.8391666667000024,0.88285,1.17045,1.16285,1.1411,1.15135,1.17745,1.1554,1.1435,1.1483,1.16385,1.18435
4.1413888889,0.86715,1.1742,1.16765,1.14545,1.1539,1.1867,1.16425,1.1555,1.1628,1.1836,1.20235
4.4419444445000025,0.85185,1.1811,1.17715,1.1496,1.15545,1.19715,1.1744,1.17145,1.17835,1.20225,1.2201
4.743055555600002,0.8345,1.18625,1.1808,1.1543,1.1558,1.2069,1.18505,1.1879,1.19145,1.21825,1.2385
5.044166666700001,0.8181,1.19245,1.1876,1.1571,1.1595,1.21485,1.19865,1.2023,1.2072,1.23445,1.2549
5.345833333400002,0.8038,1.1952,1.1927,1.16195,1.15365,1.22255,1.2059,1.21655,1.22235,1.24955,1.2727
5.646944444500001,0.79295,1.20345,1.20215,1.16555,1.15245,1.2334,1.21965,1.2275,1.23595,1.26275,1.2945
5.9480555556,0.78085,1.20685,1.20465,1.1684,1.14625,1.2411,1.228,1.2364,1.2494,1.27585,1.3096
6.249722222300004,0.7663,1.2076,1.2102,1.16695,1.134,1.2476,1.2329,1.24455,1.26055,1.2893,1.3208
6.550277777800002,0.759,1.21265,1.21685,1.17395,1.1274,1.2556,1.2445,1.25635,1.2779,1.3075,1.3414
6.851388888900001,0.74625,1.2175,1.2211,1.17365,1.11165,1.25935,1.2492,1.26685,1.29165,1.3255,1.3571
7.1519444445,0.7368,1.22065,1.22435,1.1766,1.09555,1.26325,1.2616,1.2774,1.3091,1.343,1.3788
7.453611111200001,0.72915,1.2243,1.22975,1.1795,1.0767,1.266,1.2699,1.2871,1.32205,1.36035,1.39735
7.755833333400002,0.7184,1.22485,1.23215,1.18165,1.0547,1.2699,1.2778,1.29465,1.3389,1.3755,1.4167
8.057500000000001,0.7106,1.2287,1.23805,1.1802,1.03195,1.2743,1.28945,1.3058,1.3518,1.39305,1.43485
8.358611111200002,0.705,1.23315,1.2412,1.18185,1.0065,1.2759,1.297,1.324,1.36705,1.4144,1.4552
8.6591666667,0.69725,1.2353,1.2455,1.17755,0.97675,1.2741,1.3004,1.33595,1.38205,1.4288,1.4781
8.961944444500002,0.69065,1.23795,1.2492,1.1743,0.9481,1.27105,1.30845,1.34945,1.3999,1.44465,1.49595
9.2619444445,0.685,1.2413,1.25345,1.1753,0.91815,1.2715,1.32075,1.36825,1.41965,1.4657,1.5244
9.5636111112,0.67865,1.24645,1.25835,1.1746,0.88695,1.2707,1.32655,1.38065,1.4362,1.4844,1.54635
9.8647222223,0.67085,1.2489,1.25895,1.17145,0.85335,1.2625,1.33325,1.38185,1.45485,1.5035,1.5681
10.164722222300004,0.66645,1.2477,1.26085,1.16875,0.8238,1.2587,1.34195,1.3923,1.4731,1.5213,1.5888
10.466388888900003,0.65805,1.2519,1.26205,1.16505,0.7915,1.2503,1.34945,1.40295,1.487,1.53405,1.6065
10.768611111199998,0.65185,1.2527,1.2647,1.1617,0.7634,1.24425,1.3549,1.41565,1.50965,1.55695,1.62625
11.069722222300005,0.64705,1.2565,1.26565,1.15415,0.73685,1.23495,1.3615,1.4273,1.52955,1.57735,1.65095
11.370277777800002,0.64125,1.25995,1.26875,1.15185,0.71195,1.22925,1.3705,1.43695,1.54885,1.6032,1.6711
11.671388888900001,0.6337,1.2626,1.27155,1.14585,0.6826,1.22075,1.37575,1.44585,1.5587,1.62005,1.6936
11.973055555600002,0.63095,1.26495,1.2766,1.14295,0.6597,1.2098,1.3791,1.46115,1.577,1.6463,1.7188
14.035833333400003,0.59835,1.2697,1.2797,1.08775,0.5058,1.0786,1.4009,1.5451,1.7091,1.7973,1.8714
16.098055555600002,0.5764,1.2731,1.2885,1.0211,0.42725,0.93425,1.4193,1.6286,1.8449,1.93435,2.0341
18.1597222223,0.5598,1.2883,1.2985,0.9676,0.38175,0.7792,1.46055,1.71435,2.006,2.08335,2.19935
20.2225,0.5438,1.29495,1.3006,0.91705,0.35535,0.63995,1.49485,1.8185,2.17505,2.27915,2.40205
22.2852777778,0.53035,1.3016,1.305,0.86305,0.33365,0.5267,1.52955,1.92395,2.3343,2.4765,2.60255
24.3475,0.5205,1.30695,1.31675,0.8131,0.3139,0.44485,1.5614,2.0268,2.50735,2.65735,2.803
26.4102777778,0.51035,1.3152,1.323,0.7572,0.30035,0.3957,1.5787,2.1368,2.6517,2.85355,3.0031
28.473611111200004,0.49715,1.31405,1.3262,0.7096,0.2883,0.3552,1.594,2.23845,2.8484,3.0674,3.19365
30.5380555556,0.4856,1.31265,1.332,0.6559,0.2761,0.3238,1.5724,2.3503,2.9881,3.25275,3.35695
32.6002777778,0.4725,1.314,1.32985,0.6057,0.2661,0.29735,1.5563,2.4485,3.11825,3.424,3.51515
34.662499999999994,0.45945,1.31855,1.32965,0.5625,0.25745,0.27245,1.5419,2.5333,3.26085,3.5682,3.662
36.7241666667,0.44665,1.32065,1.32615,0.51605,0.2499,0.25095,1.5119,2.63485,3.3968,3.72155,3.7976
38.78750000000001,0.4341,1.3171,1.3258,0.47585,0.24115,0.22995,1.47535,2.68175,3.50475,3.8265,3.90095
40.850833333400004,0.42025,1.316,1.3165,0.4357,0.23335,0.2117,1.4363,2.73855,3.62405,3.9412,4.02375
42.9147222223,0.40395,1.315,1.311,0.40495,0.228,0.1992,1.40085,2.8002,3.68615,4.019,4.0595
44.976944444500006,0.3852,1.3142,1.2973,0.3764,0.22435,0.18515,1.3687,2.84485,3.7615,4.074,4.13395
47.0397222223,0.36735,1.31115,1.28235,0.3481,0.2195,0.17135,1.33605,2.88035,3.83015,4.12265,4.2039
49.10305555560001,0.34885,1.30425,1.2637,0.3297,0.2161,0.1622,1.3099,2.90405,3.8925,4.1759,4.2801
51.1663888889,0.31985,1.29605,1.2407,0.3102,0.2091,0.15245,1.28955,2.90235,3.92645,4.2109,4.3259
53.22916666670001,0.2892,1.2891,1.2193,0.29415,0.20515,0.1439,1.25465,2.91205,3.9182,4.25375,4.3739
55.291944444500004,0.256,1.2749,1.1884,0.28045,0.20095,0.1366,1.2154,2.8876,3.9088,4.29985,4.4107
57.35361111120001,0.22015,1.263,1.1629,0.2691,0.19835,0.1293,1.18945,2.8609,3.91525,4.3102,4.41675
59.4158333334,0.186,1.24555,1.12715,0.2613,0.19475,0.12305,1.15535,2.83125,3.89965,4.3174,4.4523
61.476388888900004,0.154,1.2229,1.0854,0.25385,0.19255,0.11875,1.1415,2.7874,3.90315,4.3185,4.44335
63.53805555560001,0.1263,1.196,1.0468,0.2454,0.18865,0.11235,1.10675,2.739,3.87765,4.285,4.4251
65.5991666667,0.1015,1.1622,0.9931,0.2394,0.15775,0.10745,1.06785,2.701,3.85535,4.24155,4.3981
67.6613888889,0.08215,1.12435,0.9389,0.23355,0.154,0.1025,1.0404,2.6761,3.8199,4.21895,4.37885
69.7247222223,0.0667,1.06845,0.87745,0.227,0.15175,0.09805,1.0151,2.6564,3.76545,4.17795,4.3346
71.7863888889,0.05375,1.00675,0.8152,0.2223,0.1494,0.09495,0.99575,2.62635,3.7399,4.14735,4.2996
73.8486111112,0.0445,0.9378,0.7495,0.21825,0.1463,0.0901,0.97245,2.57035,3.69105,4.09235,4.2606
75.91194444450001,0.03655,0.8633,0.6989,0.21185,0.14045,0.0874,0.9542,2.53695,3.6422,4.04795,4.22485
77.9747222223,0.0303,0.7839,0.6375,0.2087,0.13705,0.0841,0.9235,2.51085,3.6,4.0547,4.23325
80.03694444450001,0.02255,0.70365,0.58225,0.20345,0.1351,0.08065,0.8992,2.47905,3.5802,4.1142,4.29435
82.0991666667,0.0169,0.62705,0.5357,0.1993,0.11285,0.0778,0.8674,2.45115,3.61355,4.2127,4.3802
84.16194444450001,0.0129,0.5606,0.4879,0.1959,0.11235,0.0747,0.84935,2.4184,3.686,4.31775,4.45535
86.2241666667,0.00645,0.50375,0.45265,0.19135,0.10895,0.07095,0.83395,2.38855,3.7641,4.3886,4.4907
88.2863888889,0.0003,0.45035,0.4136,0.1863,0.10615,0.06855,0.8129,2.3625,3.82485,4.4134,4.48915
90.3486111112,-0.0051,0.40985,0.37805,0.18445,0.10655,0.06685,0.8019,2.3365,3.86355,4.40215,4.4661
