Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.0,1,1,1,1,1,1,1,1,1,1,1
0.09805555560000201,1.01745,1.01015,1.01405,1.01305,1.00985,1.01075,1.01365,1.01445,1.01615,1.00895,1.01225
0.3308333334000011,1.0153,1.01345,1.0198,1.0183,1.0177,1.0197,1.02125,1.02465,1.02145,1.0153,1.0217
0.6313888889000019,1.01835,1.0203,1.02385,1.02125,1.0239,1.0231,1.02475,1.03025,1.02505,1.0232,1.02735
0.932500000000001,1.0232,1.0285,1.03395,1.0345,1.0361,1.0348,1.0362,1.04235,1.0374,1.03045,1.03635
1.2330555556,1.0341,1.0423,1.0492,1.0497,1.05215,1.04965,1.05835,1.0598,1.05105,1.04285,1.04945
1.533611111199999,1.0431,1.05735,1.06945,1.0686,1.06945,1.06465,1.0781,1.0789,1.0718,1.0658,1.0628
1.8347222223000017,1.0497,1.07375,1.08395,1.08385,1.0871,1.07645,1.092,1.09525,1.0863,1.0787,1.07525
2.135833333400001,1.0577,1.0873,1.10135,1.0975,1.10475,1.0915,1.1049,1.10925,1.10075,1.08895,1.0923
2.4375,1.06335,1.10195,1.1104,1.10935,1.1186,1.10615,1.1203,1.12045,1.11565,1.09985,1.1114
2.739166666700001,1.07335,1.11565,1.12735,1.1267,1.1394,1.1243,1.1402,1.1334,1.12745,1.1142,1.12375
3.0419444445000003,1.08175,1.12955,1.1463,1.14185,1.1627,1.14665,1.15995,1.15715,1.15165,1.1322,1.13775
3.3441666667000014,1.0876,1.14385,1.1619,1.15595,1.17915,1.1587,1.1811,1.1712,1.17045,1.14975,1.1519
3.6458333334000024,1.0975,1.1624,1.1803,1.17405,1.20395,1.17805,1.2016,1.19435,1.19175,1.172,1.17365
3.9486111112000017,1.09935,1.17535,1.20095,1.1839,1.2217,1.1929,1.2143,1.21075,1.20395,1.1862,1.19135
4.249166666699999,1.10655,1.19155,1.2204,1.19915,1.2462,1.21245,1.23845,1.23085,1.22385,1.2086,1.2084
4.551944444500002,1.1135,1.20575,1.23475,1.21445,1.26145,1.22715,1.26175,1.2501,1.241,1.227,1.226
4.852499999999999,1.12135,1.2211,1.2527,1.2274,1.2817,1.2408,1.2836,1.26785,1.25855,1.24655,1.24535
5.1541666667,1.1297,1.23665,1.28185,1.2465,1.30345,1.2575,1.31045,1.29145,1.27685,1.26975,1.2669
5.455833333400001,1.13395,1.25445,1.30305,1.2662,1.3243,1.26975,1.3324,1.31255,1.29805,1.29155,1.2865
5.756388888900002,1.13805,1.26755,1.31895,1.2831,1.3432,1.2899,1.353,1.3296,1.31525,1.30735,1.3055
6.058611111200001,1.1451,1.28665,1.3377,1.2985,1.36315,1.31095,1.37155,1.35155,1.33395,1.32575,1.32065
6.3597222223,1.149,1.30185,1.35575,1.30985,1.37625,1.33005,1.3907,1.3704,1.3573,1.348,1.33935
6.660833333399999,1.15705,1.32165,1.376,1.3293,1.3984,1.35555,1.4115,1.39355,1.37885,1.3696,1.35515
6.9619444444999985,1.1634,1.33555,1.3957,1.3483,1.4186,1.3728,1.4321,1.4152,1.396,1.3892,1.37065
7.263055555599998,1.16955,1.35055,1.41465,1.3714,1.4413,1.39635,1.4559,1.43275,1.4162,1.40985,1.38515
7.564722222299999,1.1731,1.3689,1.42975,1.3939,1.46795,1.41955,1.4764,1.4541,1.43875,1.42875,1.401
7.865277777800003,1.1798,1.3911,1.4523,1.41945,1.49135,1.44175,1.49565,1.4759,1.4587,1.452,1.41985
8.165833333400002,1.18365,1.4059,1.4724,1.43815,1.5096,1.46115,1.51335,1.4924,1.478,1.46515,1.4355
8.466944444500001,1.18665,1.42485,1.49385,1.45735,1.5309,1.48075,1.53355,1.5137,1.49245,1.47995,1.456
8.768611111200002,1.1968,1.4457,1.5138,1.4775,1.55305,1.50125,1.55885,1.5363,1.50965,1.4986,1.48415
9.069722222300001,1.1991,1.46125,1.53845,1.49415,1.5707,1.51835,1.57665,1.5552,1.5264,1.51885,1.5035
9.3708333334,1.208,1.48205,1.5632,1.5164,1.59325,1.5434,1.60625,1.58115,1.55155,1.5434,1.5286
