Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.0,1,1,1,1,1,1,1,1,1,1,1
0.09805555560000201,1.02355,1.01095,1.0025,1.0104,1.0119,1.0119,1.01275,1.01065,1.00815,1.01415,1.0178
0.3308333334000011,1.0406,1.03915,1.02335,1.024,1.0223,1.0223,1.02225,1.02615,1.01835,1.0255,1.0251
0.6313888889000019,1.06575,1.0699,1.05865,1.0335,1.0276,1.0276,1.03045,1.0338,1.02305,1.03095,1.03265
0.932500000000001,1.0866,1.0937,1.07945,1.0585,1.0346,1.0346,1.0396,1.04585,1.03315,1.04475,1.04295
1.2330555556,1.09845,1.11255,1.1006,1.0808,1.051,1.051,1.0487,1.05735,1.0456,1.05165,1.05225
1.533611111199999,1.11835,1.137,1.1242,1.1041,1.0704,1.0704,1.06665,1.0716,1.0706,1.069,1.06985
1.8347222223000017,1.13045,1.1563,1.13995,1.12195,1.0859,1.0859,1.07735,1.08375,1.083,1.0844,1.0793
2.135833333400001,1.1463,1.17485,1.1578,1.1378,1.1025,1.1025,1.0912,1.0966,1.0937,1.1029,1.0913
2.4375,1.1554,1.18405,1.1615,1.1461,1.1095,1.1095,1.0994,1.10685,1.10335,1.1123,1.1008
2.739166666700001,1.16105,1.1958,1.1745,1.15815,1.1245,1.1245,1.111,1.1201,1.11665,1.11995,1.11785
3.0419444445000003,1.1697,1.2055,1.18515,1.1714,1.1463,1.1463,1.12505,1.1376,1.1307,1.1338,1.135
3.3441666667000014,1.1777,1.21215,1.19425,1.18485,1.1669,1.1669,1.13695,1.1517,1.14575,1.14845,1.14565
3.6458333334000024,1.18995,1.22155,1.20525,1.20315,1.1925,1.1925,1.1576,1.17245,1.16445,1.16785,1.16395
3.9486111112000017,1.18785,1.2206,1.2036,1.2058,1.208,1.208,1.16505,1.18185,1.1754,1.1757,1.1789
4.249166666699999,1.19805,1.2314,1.21225,1.2194,1.228,1.228,1.18755,1.2026,1.1882,1.19375,1.1922
4.551944444500002,1.2025,1.2383,1.21595,1.22925,1.2521,1.2521,1.2019,1.21805,1.20705,1.20795,1.20845
4.852499999999999,1.20645,1.2451,1.2187,1.23405,1.2685,1.2685,1.21835,1.23,1.2229,1.21955,1.22485
5.1541666667,1.21035,1.2568,1.2275,1.24625,1.2957,1.2957,1.23295,1.2454,1.2451,1.24045,1.24605
5.455833333400001,1.21395,1.26445,1.2302,1.25385,1.317,1.317,1.24885,1.2622,1.26475,1.2574,1.26435
5.756388888900002,1.21445,1.26275,1.23205,1.25975,1.3369,1.3369,1.2666,1.2738,1.2787,1.26915,1.2808
6.058611111200001,1.22055,1.2667,1.23585,1.2715,1.3614,1.3614,1.29515,1.28805,1.2971,1.2877,1.2942
6.3597222223,1.22005,1.26815,1.24065,1.2761,1.3886,1.3886,1.3156,1.3015,1.31325,1.3058,1.30665
6.660833333399999,1.219,1.27375,1.24285,1.28785,1.4056,1.4056,1.33185,1.3225,1.3291,1.32755,1.32895
6.9619444444999985,1.21795,1.2765,1.243,1.29485,1.4267,1.4267,1.34075,1.3346,1.34445,1.3443,1.341
7.263055555599998,1.22375,1.27955,1.2452,1.3029,1.4465,1.4465,1.35255,1.3505,1.3595,1.3622,1.3605
7.564722222299999,1.22495,1.2761,1.24515,1.3076,1.4714,1.4714,1.3634,1.371,1.3812,1.38035,1.3727
7.865277777800003,1.22625,1.2829,1.246,1.3184,1.4936,1.4936,1.38425,1.3889,1.4054,1.40075,1.38895
8.165833333400002,1.22485,1.27735,1.2468,1.3199,1.5087,1.5087,1.4044,1.4068,1.42685,1.41705,1.40735
8.466944444500001,1.22115,1.2792,1.24655,1.3289,1.526,1.526,1.42315,1.4216,1.4405,1.4378,1.4275
8.768611111200002,1.2214,1.2833,1.24805,1.33975,1.5472,1.5472,1.45055,1.44535,1.46025,1.45895,1.4524
