Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.0,1,1,1,1,1,1,1,1,1,1,1
0.09805555560000201,1.0228,1.0068,1.0076,1.0078,1.01285,1.0105,1.00635,1.015,1.02505,1.014,1.0192
0.3308333334000011,1.0481,1.04635,1.04405,1.0468,1.0433,1.04325,1.0366,1.03515,1.0401,1.0269,1.02585
0.6313888889000019,1.08655,1.09065,1.0796,1.0826,1.07765,1.07145,1.06725,1.0681,1.0649,1.0443,1.03305
0.932500000000001,1.1059,1.11565,1.108,1.10655,1.1022,1.09525,1.093,1.0937,1.08335,1.06285,1.04915
1.2330555556,1.11965,1.1301,1.1268,1.1238,1.12155,1.1125,1.11,1.11155,1.1087,1.0785,1.06515
1.533611111199999,1.13385,1.14345,1.1474,1.145,1.14145,1.1321,1.13185,1.135,1.12755,1.10005,1.0925
1.8347222223000017,1.1361,1.14995,1.157,1.15325,1.1547,1.14345,1.14655,1.15095,1.14105,1.11435,1.10525
2.135833333400001,1.13995,1.1528,1.1679,1.1668,1.16805,1.158,1.16165,1.16365,1.1551,1.13015,1.11805
2.4375,1.1353,1.1494,1.171,1.17185,1.16855,1.16235,1.1679,1.1722,1.1619,1.13755,1.12775
2.739166666700001,1.13215,1.15005,1.178,1.17845,1.1755,1.16915,1.1776,1.1818,1.17395,1.14635,1.13575
3.0419444445000003,1.124,1.14885,1.1843,1.1896,1.1825,1.1793,1.1838,1.19255,1.18985,1.1572,1.1455
3.3441666667000014,1.1094,1.1436,1.19025,1.1908,1.18835,1.1859,1.18925,1.20515,1.19465,1.1636,1.15585
3.6458333334000024,1.09835,1.1534,1.2005,1.20115,1.19835,1.1975,1.20485,1.221,1.20945,1.1803,1.17195
3.9486111112000017,1.0727,1.13985,1.1979,1.1986,1.19585,1.1995,1.2076,1.22615,1.2153,1.18575,1.1844
4.249166666699999,1.0544,1.13135,1.2085,1.2106,1.2056,1.20805,1.2208,1.24065,1.22685,1.1997,1.20575
4.551944444500002,1.03325,1.12095,1.2118,1.21335,1.2098,1.2107,1.23035,1.25005,1.23865,1.21455,1.2207
4.852499999999999,1.0095,1.10905,1.2126,1.21815,1.21345,1.21355,1.23495,1.25985,1.245,1.2258,1.2368
5.1541666667,0.9874,1.099,1.21805,1.22245,1.2226,1.2224,1.2463,1.2715,1.2523,1.2384,1.24925
5.455833333400001,0.9631,1.085,1.2205,1.2261,1.22865,1.2249,1.25295,1.28205,1.2566,1.2489,1.26825
5.756388888900002,0.93925,1.06975,1.2198,1.2263,1.23095,1.2291,1.25685,1.2903,1.2584,1.2663,1.27695
6.058611111200001,0.92005,1.055,1.2215,1.229,1.23155,1.23325,1.26475,1.29305,1.2655,1.2738,1.28965
6.3597222223,0.9003,1.03905,1.21975,1.22695,1.2355,1.2376,1.2677,1.29935,1.27255,1.2847,1.3011
6.660833333399999,0.8823,1.0273,1.2241,1.23245,1.2399,1.2463,1.27745,1.30745,1.28245,1.2975,1.3182
6.9619444444999985,0.8609,1.0122,1.22025,1.23175,1.24105,1.2449,1.28185,1.3103,1.2869,1.30675,1.33355
7.263055555599998,0.84285,1.00385,1.21895,1.2392,1.24335,1.2494,1.28795,1.3145,1.29385,1.318,1.35
7.564722222299999,0.82625,0.99085,1.2191,1.23825,1.2459,1.25145,1.29245,1.3204,1.30525,1.3262,1.3683
7.865277777800003,0.81145,0.9817,1.21935,1.24735,1.2496,1.2571,1.30265,1.33115,1.32115,1.33715,1.39075
8.165833333400002,0.79425,0.96885,1.2145,1.24775,1.2508,1.2543,1.305,1.33505,1.32845,1.3468,1.4078
8.466944444500001,0.7782,0.95635,1.2148,1.2443,1.24745,1.2568,1.3086,1.3364,1.3362,1.3608,1.41605
8.768611111200002,0.76435,0.9478,1.21395,1.2462,1.2543,1.26255,1.3178,1.34375,1.34755,1.37415,1.43625
9.069722222300001,0.74745,0.93615,1.21045,1.2471,1.24985,1.26085,1.3158,1.3447,1.35185,1.3846,1.4504
9.3708333334,0.73455,0.9245,1.2096,1.2449,1.25635,1.26665,1.32425,1.34985,1.3607,1.4023,1.46975
9.6719444445,0.72115,0.91355,1.2044,1.24545,1.25565,1.26795,1.32155,1.35715,1.37385,1.41505,1.48785
9.9736111112,0.70395,0.8999,1.2009,1.2415,1.2501,1.26445,1.31675,1.35765,1.37735,1.43245,1.50635
10.274166666699998,0.68985,0.89245,1.2016,1.24195,1.25165,1.26895,1.3205,1.37,1.39505,1.4547,1.53335
10.5769444445,0.67585,0.88135,1.1949,1.2393,1.24625,1.2653,1.3254,1.373,1.4083,1.46945,1.55355
10.877499999999998,0.6623,0.8753,1.1917,1.23955,1.24215,1.26615,1.3343,1.38465,1.4269,1.4884,1.5831
11.179166666699999,0.65315,0.86635,1.1895,1.23795,1.2434,1.26325,1.3386,1.3903,1.4456,1.50445,1.60595
11.4808333334,0.64225,0.8589,1.1858,1.2404,1.2449,1.26385,1.3465,1.40385,1.46145,1.51855,1.6303
11.781388888900004,0.6298,0.84975,1.18205,1.23765,1.2421,1.2637,1.34935,1.4142,1.47495,1.53685,1.6539
12.0836111112,0.6193,0.83915,1.17615,1.23995,1.2395,1.26195,1.35915,1.4243,1.49135,1.55805,1.67705
14.145833333399999,0.54205,0.77535,1.1421,1.2182,1.29775,1.2937,1.44325,1.538,1.6235,1.708,1.81625
16.208055555599998,0.466,0.75645,1.12505,1.2236,1.31845,1.3548,1.5265,1.64675,1.7469,1.8638,1.9667
18.270277777800004,0.39475,0.7049,1.10295,1.21595,1.34295,1.40865,1.61225,1.7548,1.87655,1.99585,2.13115
20.331944444500003,0.3445,0.67095,1.09585,1.2359,1.38445,1.4751,1.71485,1.88585,2.0077,2.16475,2.31065
22.394166666700002,0.3072,0.64245,1.0903,1.2546,1.4218,1.5404,1.80895,2.0151,2.12385,2.32405,2.51965
24.4563888889,0.2764,0.62805,1.099,1.26225,1.45645,1.6144,1.9024,2.1502,2.2417,2.469,2.7138
26.5183333334,0.2504,0.6179,1.11255,1.28525,1.5092,1.68395,1.9837,2.26375,2.3767,2.6582,2.9499
28.582500000000003,0.23,0.6112,1.13,1.3142,1.54225,1.72925,2.05095,2.36725,2.51565,2.86045,3.2025
30.6458333334,0.21275,0.6094,1.16315,1.35395,1.5973,1.7904,2.1096,2.45745,2.6714,3.0643,3.42645
32.7091666667,0.197,0.6056,1.19115,1.39185,1.6464,1.8452,2.12855,2.5519,2.8064,3.2364,3.6515
34.7719444445,0.1841,0.60105,1.22025,1.4233,1.6854,1.89015,2.16155,2.6175,2.92695,3.35475,3.80785
36.8333333334,0.1739,0.60035,1.24155,1.46435,1.70665,1.91745,2.20235,2.68155,3.0132,3.5203,3.9866
38.895277777800004,0.1641,0.59025,1.2612,1.48105,1.72465,1.9483,2.2258,2.75535,3.10215,3.64025,4.137
40.959444444499994,0.1521,0.5781,1.2845,1.48875,1.7403,1.9556,2.2478,2.7791,3.22695,3.77265,4.2717
43.021388888900006,0.14055,0.5676,1.2902,1.50235,1.76275,1.97155,2.2509,2.82535,3.3699,3.85995,4.3888
45.084444444499994,0.1322,0.55115,1.2929,1.5203,1.77045,1.9711,2.26115,2.86905,3.50345,3.99605,4.5247
47.148888888900004,0.1217,0.53785,1.28445,1.52125,1.77505,1.97895,2.2597,2.87195,3.60655,4.10185,4.66465
49.211944444500006,0.1129,0.5228,1.2849,1.5256,1.7651,1.98505,2.2598,2.87905,3.7197,4.2059,4.79275
51.276111111199995,0.10275,0.50705,1.2655,1.53925,1.757,1.9821,2.25875,2.89175,3.83255,4.30825,4.9018
53.3388888889,0.0929,0.48685,1.2505,1.54965,1.74285,1.9759,2.24465,2.87405,3.8988,4.4082,4.9936
55.401666666699995,0.0829,0.46605,1.2204,1.54075,1.73845,1.9655,2.2348,2.81325,3.995,4.4651,5.0874
57.467222222299995,0.07335,0.44575,1.1925,1.5271,1.71865,1.94325,2.2221,2.81585,4.05605,4.52475,5.14965
59.5294444445,0.0653,0.4292,1.15685,1.5188,1.7151,1.93385,2.19965,2.79545,4.06175,4.5695,5.20025
61.59166666670001,0.0549,0.41325,1.1241,1.51475,1.693,1.9253,2.1819,2.7607,4.13875,4.63055,5.2222
63.6533333334,0.0457,0.37975,1.0897,1.50845,1.67995,1.9202,2.16335,2.7335,4.19245,4.6634,5.23975
65.71611111120001,0.03495,0.35765,1.04925,1.48935,1.6698,1.91325,2.13305,2.68995,4.22835,4.69245,5.19745
67.7783333334,0.0277,0.34475,1.01585,1.47135,1.6499,1.8889,2.1058,2.64045,4.2775,4.72405,5.1949
69.84,0.01765,0.3267,0.97575,1.44405,1.63225,1.87265,2.0846,2.5973,4.3316,4.74215,5.17955
71.9033333334,0.01065,0.31485,0.92975,1.4185,1.6173,1.8688,2.0604,2.5823,4.34115,4.7673,5.22375
73.9655555556,0.00565,0.2985,0.8926,1.40565,1.6,1.8364,2.03155,2.57145,4.35785,4.81915,5.23295
76.0277777778,-0.00495,0.28295,0.85395,1.37505,1.58525,1.8163,2.0098,2.54855,4.35195,4.789,5.3073
78.09166666670001,-0.01395,0.2644,0.8113,1.347,1.5616,1.79905,1.98805,2.55785,4.3281,4.87125,5.2718
80.1538888889,-0.02015,0.2535,0.7735,1.31625,1.53305,1.7871,1.9603,2.5439,4.33565,4.87155,5.2835
82.2155555556,-0.02915,0.24075,0.7379,1.2902,1.51,1.765,1.9454,2.5517,4.318,4.9152,5.1985
84.2783333334,-0.03565,0.23005,0.7064,1.25995,1.484,1.75205,1.912,2.5775,4.2903,4.893,5.1523
86.3422222223,-0.0456,0.21335,0.6751,1.2283,1.45385,1.7301,1.87665,2.58345,4.28165,4.85275,5.01755
88.405,-0.05185,0.20335,0.6456,1.19785,1.43525,1.71595,1.8592,2.60535,4.29895,4.78765,4.95955
90.4677777778,-0.06095,0.18685,0.61415,1.1699,1.41025,1.6853,1.82725,2.6122,4.30485,4.71055,4.80955
92.53,-0.068,0.1786,0.5913,1.14125,1.38985,1.64,1.81005,2.63755,4.30975,4.62945,4.72565
94.5938888889,-0.0746,0.1664,0.5687,1.11225,1.32705,1.55295,1.78445,2.6568,4.33475,4.60885,4.5297
